date,Saudi Arabia,Russian Federation,Iraq,United States,United Arab Emirates,Kuwait,Brazil,Nigeria,Norway,Angola,Mexico,Libya,Oman,Iran,Turkey,Qatar,Egypt,United Kingdom,Unknown,Colombia,Venezuela,Algeria,Canada,Panama,Ecuador,Malaysia,Republic of the Congo,Guyana,Saudi-Kuwaiti Neutral Zone,Australia,Cameroon,Gabon,Ghana,Sudan,Argentina,Equatorial Guinea,Indonesia,South Korea,Trinidad and Tobago,Brunei,Vietnam,Georgia,Japan,Israel,Turkmenistan,Tunisia,Yemen,Kazakhstan,Ivory Coast,China,South Africa,Thailand,Democratic Republic of the Congo,Papua New Guinea,Denmark,United States Virgin Islands,Italy,New Zealand,Bahamas,Albania,Netherlands,Peru,Saint Lucia,Sweden,Singapore Republic,Germany,Croatia,Pakistan,Timor-Leste,Philippines,France,Sint Eustatius,Guatemala,Cuba,Romania,Belgium,Ireland,Spain,Chile,Bahrain,Mozambique,Poland,Azerbaijan,India,Curacao,Portugal,Bulgaria,Taiwan,Lithuania,Malta,Estonia,Kenya,Cyprus,Latvia,Aruba,Belize,Gambia,Togo
2021-01,26961.20985,15872.65113,11713.31069,12628.55933,9496.430157,7159.704555,5743.987512,5591.219939,5915.054765,4610.960256,4647.698249,4102.533442,3841.487776,3108.25074,4151.041112,3139.188003,2398.155046,3646.127447,2084.798543,2234.746707,1938.156274,1120.367826,1855.664193,1445.62914,1672.669207,1606.214318,1172.91233,561.2202068,783.542988,802.5685009,983.8648201,708.8476996,808.910252,610.89511,325.2103465,625.203122,629.278948,746.5866878,227.9286466,236.173066,211.9349606,405.2102963,0,474.638563,80.218694,173.060861,61.4262495,124.403034,0,31.12368,140.394017,123.6375982,0,108.3232136,49.52046,8.281476,0,42.370496,338.278652,60.133395,17.086636,100.289616,341.58453,127.911882,0,0,57.215368,0,0,36.009213,97.07521779,0,0,0,0,0,93.083592,21.245546,0,0,0,10.470376,0,75.57487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02,22541.49938,16061.39766,11446.49648,7826.766655,8427.64218,7051.256767,5319.313614,5980.42086,5022.603427,4051.697878,4174.860023,4291.405305,3198.25732,2356.61337,3887.226963,2469.207094,2274.226463,3479.008471,2260.182122,1660.775418,1531.141523,1519.491676,1755.50225,1352.335325,1498.886066,1066.281577,982.835471,430.0188074,763.288116,1009.761106,837.0730728,626.7438265,540.834362,848.980762,174.5895351,144.63225,590.8411212,573.226415,285.6559877,217.1769792,248.0957832,351.5475641,0,118.2469,69.83727,37.217966,339.0184245,129.168228,227.660308,48.666268,520.842455,51.274648,119.014048,153.0492946,67.547738,0,70.95505748,42.370496,40.32945,58.018961,7.812441,0,74.831139,376.3808412,0,0,67.4842,0,0,32.922666,94.637298,0,43.209428,0,0,0,0,0,0,0,0,0,0,0,2.482956,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03,23490.68167,16528.76323,12341.66823,11084.13754,9192.395637,7803.07175,6158.422931,6710.013817,5638.420483,5007.472532,4316.263739,4957.136216,3444.378366,3108.98676,3860.010367,2845.11699,2138.357196,3719.159233,3025.066266,2117.830949,1919.97914,1367.741622,1825.720854,1343.162122,1733.423655,1428.217362,1277.804537,573.3783029,767.2838475,734.2760085,802.8002369,823.6381434,807.512894,467.104036,269.2260159,456.50378,661.8332622,1035.227907,263.872314,301.7298786,236.7457219,401.9906005,42.16317,229.822936,68.108178,85.462369,56.7271691,36.793344,0,267.138312,813.718448,179.2784311,124.773608,61.16075308,122.948706,0,55.89712328,101.593868,0,23.556533,65.77009,0,0,172.50184,0,70.658518,0,0,49.0277632,36.479085,23.40884,124.209611,0,0,0,73.79535758,0,11.438448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.888268,0,0,0,0
2021-04,22938.91796,17007.66576,12051.35431,12376.42088,9832.796162,7057.61206,6861.517139,6535.128497,5261.060381,4556.085673,4256.02357,4409.417749,3657.187789,2913.38466,3936.13562,2899.327918,1992.597307,2697.348614,3707.230822,1764.622984,2008.930218,1662.44121,2039.074421,1543.895794,1700.827794,1642.829174,1004.008257,505.9253899,714.538756,1085.2454,975.2028523,917.7783093,488.335951,517.836368,0,597.553725,472.4587544,973.496104,206.353033,440.984054,160.6722529,371.5583483,437.217017,281.545404,137.851874,164.7485788,293.314032,38.308228,87.379072,0,899.2483107,113.3129747,0,65.92694025,66.121748,0,0,64.572015,204.50414,14.346332,0,110.6964184,193.924976,0,78.019462,0,55.001688,29.04954,0,73.424277,18.06049,0,0,43.784608,0,0,0,0,0,0,0,0,0,6.272644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05,24774.49588,18036.22352,12197.66348,10707.23617,9130.641897,8109.396608,6185.970163,6581.273185,5390.909928,4528.946394,4525.404423,4193.977642,3840.975138,1961.588889,3734.029327,3204.707846,2320.074379,2923.642698,2389.180944,2122.673041,2002.93491,1432.567251,1966.126997,1708.759848,1671.541213,1218.294717,1058.944784,353.4990009,886.603482,1067.835029,848.1025034,442.0584564,666.4226,471.721138,407.1014949,321.20028,594.4991295,525.3667588,333.0269762,366.8150126,194.7222306,276.0140437,0,0,115.469914,253.475118,60.8239562,77.04515,0,0,0,93.44069344,0,124.7884752,122.948706,299.220054,56.10554408,0,29.0723506,26.654628,96.5949424,65.662044,0,0,44.936878,0,0,0,38.40090714,0,18.06049,0,0,0,0,80.389624,0,0,0,0,0,94.743026,0,13.028498,30.666076,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06,23212.7408,18821.52177,11726.87534,12198.26058,9631.778625,7293.740851,5781.280579,6332.675628,4866.401863,4278.077387,4956.591652,4761.208155,3430.844683,2455.783526,3765.969176,3334.240033,2854.488651,2628.718789,2988.842292,2042.233338,1570.436508,1744.829148,1897.164179,1330.427206,1599.762684,1440.714944,1116.589313,422.3478852,877.2893258,633.3093074,1006.189983,950.7416057,513.604285,697.702824,385.0112426,506.630103,671.640401,858.242499,187.9665879,270.58934,190.7597933,330.5412609,260.54931,0,117.927228,46.337296,358.5883138,98.34356,241.7142412,230.969928,0,38.801743,112.48364,63.11639116,155.766722,312.547914,20.8748902,87.2726,0,51.002952,33.873892,0,0,0,0,101.11892,0,43.29156,0,23.90775,36.12098,0,43.159144,77.45402,0,0,0,88.526089,9.80049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.367348,0,0,0,0
2021-07,27668.47157,16859.0904,12644.5224,10005.10433,9874.168659,8470.204267,6219.015065,6609.638731,5747.582042,5030.600803,5340.845265,4675.361192,3801.571488,3597.224644,3918.392247,3374.052022,2960.306495,3348.962183,2204.339859,1781.664874,1460.999035,1682.710036,2329.35602,1318.099782,1360.384198,803.2594186,998.233467,513.9241146,726.5701215,810.1605123,672.9157746,638.3239735,734.476702,453.619698,283.0572693,219.945618,275.7146402,657.067825,183.12772,292.69723,25.125568,368.3880029,150.262616,0,129.126078,140.6152977,55.9374578,102.864258,150.868864,0,138.947242,15.15297,119.45964,109.4869506,0,225.540126,136.2055131,41.152146,0,24.231207,181.142584,0,10.909808,34.77873,156.856246,192.467912,0,0,45.5657667,22.113644,0,0,0,0,56.281407,0,0,0,20.98866,0,0,0,0,0,0,34.179163,0,0,0,0,0,0,0,0,12.273534,0,0,0
2021-08,26677.92849,16161.99514,13305.56296,10491.97362,10145.39221,7464.389321,5738.422307,4952.801343,6256.83436,4568.210387,4812.531704,4473.198842,3653.724675,1635.633228,3370.263922,3527.71179,2732.276208,3304.059043,1963.113824,2166.385619,1930.073616,1549.332197,1662.815832,1476.949283,1520.854545,1044.338411,1138.325,495.5498816,687.7839635,1259.872223,889.9508969,815.459058,486.331176,502.108544,509.1714215,592.656737,265.239266,275.709964,284.9606183,245.839902,232.6683706,413.6364718,629.558434,104.9846,131.031116,196.808902,62.5328676,175.090524,59.633896,317.409824,228.260395,159.6500926,110.90968,51.27096,33.303732,306.434436,22.99393314,83.8420261,73.09274,22.579557,0,17.40881633,0,0,137.449704,73.836966,0,30.19068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.721988,0,0,0,0
2021-09,26742.63356,16847.26948,12873.29757,9867.034031,9961.360425,7256.698182,4674.360873,6500.654782,5605.877236,4821.230087,4392.198646,4201.668032,3783.53051,3184.187405,3734.272983,2749.538755,3121.73787,3698.220921,2258.493935,2079.25388,2005.964611,1606.230033,1798.648097,1142.588151,1539.874925,1137.816278,922.180408,496.5566415,907.345352,1208.515012,843.1852628,959.1514621,669.920772,640.122602,181.3982058,444.686305,179.711178,261.604392,283.64178,226.4601949,78.374865,340.605363,447.275618,0,65.718902,97.67575555,342.1091602,93.448684,153.6472578,22.875168,52.52947,0,0,65.59477738,66.607464,0,25.715858,76.966818,155.151269,0,0,84.575784,27.357946,0,0,74.477942,0,43.29156,64.76290559,34.119183,0,0,43.127233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10,29481.40319,19367.51752,12917.97522,10686.60201,10923.74958,7431.057616,5736.003989,5959.954887,5596.190459,4683.294093,4403.975953,4608.794379,3798.883468,2435.38665,3603.642848,3235.579083,3335.594687,3475.36749,3226.912528,2093.26052,1597.85515,2455.269352,1792.812007,1697.095828,1670.355473,849.7034865,1397.968352,580.5069241,844.8444422,1104.587085,799.5681733,477.9750128,542.046203,473.740274,343.3075348,436.649495,285.5556455,473.611469,267.4377999,295.8381578,194.611076,299.9175627,315.149562,0,104.9067,190.3039998,66.7821448,73.678374,0,159.084022,0,46.405638,110.387352,53.19973471,33.303732,0,83.42881692,55.6905885,0,0,81.93507,84.625072,0,0,0,0,0,0,0,0,0,0,0,0,0,73.285198,0,0,0,0,24.65502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
