date,United States,Netherlands,Singapore Republic,South Korea,China,Belgium,India,Saudi Arabia,United Arab Emirates,Italy,United Kingdom,Malaysia,Russian Federation,Canada,Spain,Oman,Norway,Japan,Taiwan,Greece,France,Finland,Sweden,Latvia,Lithuania,Turkey,Bahamas,Portugal,Bulgaria,Romania,Brunei,Estonia,Kuwait,Qatar,Togo,Brazil,Cyprus,Algeria,Malta,Indonesia,Thailand,Iran,Denmark,Ireland,Georgia,Argentina,Germany,Tunisia,Trinidad and Tobago,Croatia,Australia,Iraq,Peru,Guatemala,Poland,Nigeria,Bahrain,United States Virgin Islands,Israel,Colombia,Vietnam,Panama,Equatorial Guinea,New Zealand,Chile,Unknown,South Africa,Jordan,Venezuela,Mexico,Philippines,Pakistan,Senegal,Dominican Republic,Ecuador,Djibouti,Egypt,Hong Kong,Sint Eustatius,Uruguay,Kenya,Somalia,Mozambique,Curacao,Papua New Guinea,Gambia,Ukraine,Moldova,Republic of the Congo,Angola,Liberia,Guernsey,Tanzania
2022-01,2434.129737036,1556.741658,984.927765,1181.442693,895.896057,853.94718,931.503168,576.650412,586.995879,530.693316,791.309628,346.206057,540.782763,407.580828,401.906973,120.867042,289.692654,267.15687,256.913811,141.492465,175.985889,215.025174,222.205029,222.159849,200.440317,96.397554,0,41.06862,102.982539,119.429565,2.451768,0,0,26.162232,37.00242,0,11.646651,0,0,34.733631,8.35077,59.136855,10.138392,17.498967,0.969111,0,4.368906,0,10.035231,0,0,0,0,0,0,21.779772,0,0,0,7.136181,14.948556,0,0,0,0,0,0,0,0,0,2.75598,0,0,0,0,0,0,0,7.874874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02,1937.811214404,1472.504301,1022.159097,1146.550179,956.331084,1291.105848,1197.645747,698.085216,730.892673,633.774359448,569.950971,307.337703,360.345138,433.69035,433.202406,305.40927,272.19444,357.839154,268.119957,103.929813,183.466944,188.308734,216.754062,185.974438518,174.732144,66.451497,0,177.05289,168.708144,106.236252,78.062004,130.039335,42.189837,0,0,2.674656,37.006938,5.151273,0,23.785011,0,97.216818,66.291108,12.306279,0,26.881347,27.558294,0,15.846132,0,0,0,0,0,6.239358,0,0,0,6.88995,3.976593,2.752968,0,17.538123,20.002692,0,0,4.907301,0,0,3.651297,0,38.815644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03,2475.400275492,1493.676402,1426.489224,1033.062810339,846.30423,1156.870044,1279.914762,1224.231165,856.272444,502.055973,651.438372,409.477635,551.291631,452.540199,544.259364,540.684873,322.826913,416.494842,74.058303,204.569016,187.364472,161.885211,212.05233,347.32878,172.26381,107.895111,93.318537,86.279493,32.144064,2.122707,6.696429,188.015064,0,61.182756,48.502989,0,0,0,0,7.726533,17.678934,0,0,8.098515,32.900076,16.860423,16.638288,0,13.148886,0,6.696429,0,0,0,0,0,0,0,0,0,0,0,0,6.696429,27.501819,0,0,0,0,0,0,0,1.530849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04,2545.700039985,1756.404879,1237.64586,1128.913413,1096.639833,983.378844,1117.471578,979.74336,708.636252,624.217422,444.991374,411.799887,456.632001,386.609778,348.116418,253.341579,173.062743,148.892949,120.227745,233.502288,74.935548,211.047075,233.757555,231.899151,165.324162,260.457429,46.760547,91.094175,47.593365,37.992615,38.173335,70.449927,0,9.331929,43.826106,0,19.422129,0,0,0,0,14.561514,0,17.004246,5.099316,11.090937,0,14.319801,14.417691,6.637695,0,0,0,41.78397,0,0,0,0,0,0,8.624109,0,0,12.238509,0,0,0,0,0,2.49996,0,0,6.014211,0,8.601519,0,0,0,14.861208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05,2547.741944061,2210.07109161,1277.4543345,1155.325641,850.018026,1010.422086,954.942552,1031.193591,720.398112,594.459615,488.570496,422.796699,325.925508,407.597919594,482.875557,384.042048,148.957707,142.103148,364.533324,177.924111,189.280857,294.52842,155.167698,163.358832,17.879985,238.216068,96.911853,96.728874,95.210073,93.612207,31.025106,71.793279,0,46.878768,70.391193,77.632794,0,76.434771,0,12.127818,3.932919,55.539774,0,51.413334,30.372255,20.925117,0,0,10.143663,0,0,0,0,0,5.09781,0,0,0,6.88995,0,1.058718,0,0,0,0,0,0,18.459042,29.682507,0,0,0,13.758816,0,0,0,0,0,0,0,0,11.723457,0,0,0,0,0,0,0,3.222087,0,0,0
2022-06,2569.845093417,1817.653899,1642.694349,908.25354,934.394688,1022.832279,909.334848,738.699777,1038.943467,651.92481,684.890397,334.561665,279.259086,356.168097906,462.996357,468.106215,181.639413,82.554402,371.097978,199.743792,216.665961,119.997327,145.014246,109.956072,50.469072,271.799115,36.747153,201.840144,117.617847,50.713797,82.848825,128.768271,27.745038,71.355786,130.506948,42.456399,0,0,0,7.46976,49.710048,0,8.819889,16.041912,0,8.969736,10.317606,0,7.840989,36.268998,6.403512,6.905763,0,0,0,0,0,0,0,2.830527,0,17.259513,0,0,0,0,41.352501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.277793,0,0,0,0,0,0,0,0,0
2022-07,2271.686990529,1936.285284,1395.074817,1326.828846453,884.709489,1095.047238,748.445103,830.668185,804.307914,644.821008,588.266943,422.695797,238.812444,358.554568758,352.413036,390.676731,351.466515,104.11731,325.005342,200.858985,243.188127,202.114236,145.967544,101.260428,170.255559,274.492596,94.158132,151.976484,133.728282,65.795634,42.427785,133.942887,41.602497,21.035808,0,119.171286,17.294904,0,0,21.883686,27.984492,0.47439,36.178638,5.91858,11.755836,35.979093,36.357852,0,13.941042,0,47.030874,10.642149,0,0,0,0,0,0,3.393018,41.329911,0,0,0,0,4.477338,0,0,0,13.169217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.168592,0,6.135444,0,0,0,0,0,0,0
2022-08,2713.019291298,1856.345298,1173.73875,1329.824355,707.050434,752.192784,866.541858,845.396865,1031.340426,577.514856,580.140567,597.433965,159.067485,396.906403161,325.805781,228.504627,260.904711,96.867426,229.540002,158.345358,274.88265,213.160746,236.156613,98.219814,206.275314,158.004249,176.199741,124.052985,97.854609,55.508901,75.670476,81.352614,90.099462,3.454011,18.051669,80.613921,0,31.830063,0,2.885496,0,0,9.378615,4.360623,9.60828,2.091081,2.344842,0,6.971274,9.432831,0,0,0,42.441339,11.482497,0,23.036529,0,0,0,0,0,0,0,0,42.387123,0,20.672862,0,8.618838,4.146771,0,0,0,0,31.165164,0,0,0,6.5511,0,0,0,0,0,0,0,3.527052,0,0,0,0,0
2022-09,2935.662936021,2007.570176556,979.326198,1124.983500729,397.072713,1213.097307,544.815078,932.406015,895.990182,436.246785,490.623174,436.660935,182.136393,289.363921308,220.708065,323.359284,375.606189,354.155478,82.080765,135.746322,204.453054,121.439322,17.721855,92.704089,144.718317,122.051511,103.606776,119.973231,39.4572,54.004407,24.155487,39.422562,11.228736,68.245143,41.229762,0,30.000273,0,0,17.930436,27.985998,0,5.415576,16.820514,39.399219,18.80241,0,0,10.462935,8.972748,0,0,0,0,6.755163,0,0,0,0,0,5.709246,0,2.396799,0,0,0,0,0,0,6.484083,8.127882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664146
2022-10,2451.51819978,1961.094375,1211.767509,1253.243694015,1533.648654,1039.149036,389.79798,1056.242889,990.329787,603.505404,405.469416,355.334676,361.777344,201.323586,260.180325,371.840948793,314.662134,155.992986,157.174443,126.989685,135.400695,247.575858,123.73296,277.654443,216.732978,235.512798,0,100.902,27.967926,73.463433,67.704489,20.35359,9.637647,10.633866,25.482273,10.636125,18.989907,0,0,52.462263,3.634731,0,0,20.12016,8.491581,2.997693,0.657369,2.094093,7.277745,19.535832,0,31.126008,0,0,14.667687,0,0,0,0,0,4.482609,0,0,0,0,0,0,4.333515,0,0,15.977154,0,0,22.542561,0,0,0,0,0,0,0,0.307977,0,0,0,0,0,0,0,0,0,0,0
