date,United States,Netherlands,Singapore Republic,South Korea,China,Belgium,India,Saudi Arabia,United Arab Emirates,Italy,United Kingdom,Russian Federation,Canada,Malaysia,Spain,Oman,Norway,Taiwan,Japan,France,Greece,Finland,Sweden,Lithuania,Latvia,Turkey,Bahamas,Portugal,Bulgaria,Romania,Estonia,Brunei,Togo,Brazil,Qatar,Kuwait,Cyprus,Thailand,Iran,Indonesia,Algeria,Georgia,Denmark,Ireland,Germany,Malta,Argentina,Tunisia,Trinidad and Tobago,Vietnam,Egypt,Australia,Iraq,Croatia,Colombia,Poland,Nigeria,Israel,Sint Eustatius,United States Virgin Islands,Guatemala,Bahrain,Philippines,New Zealand,Peru,Chile,Unknown,Curacao,Angola,Mexico,Jordan,Venezuela,Panama,South Africa,Pakistan,Uruguay,Dominican Republic,Ecuador,Senegal,Djibouti,Equatorial Guinea,Hong Kong,Libya,Democratic Republic of the Congo,Iceland,Kenya,Somalia,Mozambique,Papua New Guinea,Ghana,Gambia,Moldova,Liberia,Azerbaijan,Guernsey,Tanzania
2021-08,2130.363759,1521.826554,882.104109,1076.070814,662.792859,737.354166,686.32938,852.658797,600.00546,537.960519,666.148227,166.569624,505.8733833,370.809579,385.879368,263.635089,321.043809,303.693936,112.435701,188.599392,154.829601,224.095059,263.110248,188.61144,274.567896,48.143808,57.452394,144.614403,58.321356,0,42.908199,0,76.205106,131.951202,11.890623,0,0,0,52.661808,0,0,10.442604,5.514219,7.008171,0,8.228784,0,0,8.090232,13.299486,0,25.849737,0,0,0,0,19.162344,0,37.843521,0,0.317766,0,0,0,0,0,0,0,0,4.84179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.63904646,0,0,0,0,0,0,0,0,1.289889,0,0
2021-09,1988.851376,1647.959325,642.749505,1081.551219,1069.873695,739.146306,612.701793,767.108208,733.771392,579.548709,588.878379,158.374725,344.2019362,390.554745,272.360853,94.958571,268.470855,319.46025,142.892292,188.511291,208.0916712,162.080991,218.196057,112.65633,239.927637,149.561613,84.278772,146.446452,0,0,93.694284,54.921561,0,190.582794,111.560715,0,31.284138,2.068491,21.92736,30.196806,27.22095,9.282984,0,14.640579,15.29343,0,0,10.359774,5.869635,82.714038,41.344971,0,0,0,19.223337,0,0,33.547656,0,0,0,0,16.873224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10,2511.725959,1699.733346,1354.377426,1186.655712,661.446495,942.63552,592.58088,826.16901,600.060429,545.099712,430.690398,172.219383,246.046515,390.015597,374.155158,184.325364,301.582524,270.320976,126.204306,211.881399,251.490705,231.782436,189.204051,177.640983,159.094593,115.564416,90.865263,79.899324,28.063557,54.704697,45.798966,0,59.746785,76.689285,36.17412,0,0,124.70433,28.080123,3.962286,25.410738,57.214446,9.346236,9.032988,10.417755,12.56757,0,0,7.297323,2.460051,66.325746,0,0,2.269542,20.675874,19.938687,0,6.88995,0,8.061618,0,0,0,4.39752,0,0,0,0,0,3.775542,0,0,16.502748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11,2690.120335,1365.787635,1041.517221,1264.764402,821.263968,1149.560673,799.416426,808.769439,550.970853,673.274619,664.050369,411.226101,447.3087789,489.971829,389.65491,133.444401,335.379423,194.960736,227.401482,169.662948,108.090891,116.124648,146.288322,136.534713,175.668123,81.035601,37.098051,41.865294,1.631751,11.712162,76.290948,18.684189,175.635744,41.353254,0,0,16.873224,112.696992,43.41798,0,0,6.285291,18.029832,4.672365,8.112822,0,8.323662,15.645081,6.663297,0,0,0,0,0,0,0,0,0,41.344971,0,0,58.944087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12,3004.403021,1395.349662,947.886189,1182.045547,1003.17672,937.684545,1112.960355,670.483248,597.811218,577.831869,676.143549,530.881566,533.7405421,245.777694,381.126432,136.675524,255.267,255.724824,206.380734,209.993628,193.111368,215.1321,241.135449,152.040489,140.099415,32.760771,141.225903,91.482723,0,58.70388,93.764313,0,60.613488,37.368378,0,0,0,18.643527,49.96908,0,20.674368,11.203134,30.773604,14.640579,49.422402,0,0,0,8.508147,10.724226,0,0,38.704953,0,0,0,9.685086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.501915,20.676627,0,0,0,0,0,0,0,0,0,0,0,0
2022-01,2434.128736,1498.760658,976.19673,1143.04647,895.896057,791.307369,960.759477,555.91731,579.875511,530.693316,783.955077,580.447038,407.580075,332.435193,401.90622,120.867042,289.692654,256.913811,267.15687,174.137274,141.492465,215.025174,222.205029,195.069921,124.182501,96.397554,0,41.06862,102.982539,111.016296,0,2.451768,78.354921,0,38.442909,0,11.646651,8.35077,59.136855,34.733631,0,0.969111,10.138392,17.498967,4.368906,0,0,0,10.035231,14.948556,0,0,0,0,7.136181,0,21.779772,0,7.874874,0,0,0,2.75598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02,1937.809851,1515.715206,1013.194632,1151.868618,1065.081603,1286.032134,1228.292847,698.085216,732.930291,633.7743594,597.33231,362.144808,433.69035,282.573039,433.201653,282.891558,272.19444,269.912097,336.202452,183.466944,103.929813,188.308734,214.689336,174.732144,185.9744385,68.684895,0,197.867316,168.708144,106.392123,130.039335,78.062004,0,2.674656,0,42.189837,37.006938,0,97.216818,23.785011,5.151273,0,66.291108,12.306279,27.558294,0,22.681113,0,15.846132,0,0,0,0,0,3.976593,6.239358,0,6.88995,0,0,0,0,0,20.002692,0,0,0,0,0,3.651297,0,0,0,0,38.815644,0,0,0,0,0,17.538123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03,2457.970584,1462.728855,1244.77677,1026.559902,832.504752,1170.556572,1274.146029,1226.755221,874.796997,502.055973,652.051314,551.291631,452.540199,403.708149,544.267647,470.381028,322.826913,81.153069,416.494842,187.364472,204.569016,122.220936,169.111752,172.26381,254.721828,107.895111,93.318537,86.279493,32.144064,2.122707,188.015064,6.696429,48.502989,0,61.182756,0,0,13.688034,0,7.726533,0,32.900076,0,8.098515,10.44411,0,16.860423,0,13.148886,20.364885,0,6.696429,0,0,0,0,0,0,0,0,0,0,0,6.696429,0,27.501819,0,0,0,0,0,0,0,0,0,0,0,0,1.530849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04,2570.144679,1747.730319,1295.275962,1131.295152,1106.987559,978.363111,1147.584801,1007.311443,713.533764,652.118331,444.991374,427.873425,386.610531,372.993279,348.116418,223.228356,173.062743,116.972526,151.731759,74.935548,233.502288,211.047075,233.757555,165.324162,231.899151,260.457429,46.760547,91.094175,47.593365,37.992615,70.449927,38.173335,43.826106,0,9.331929,0,19.422129,0,14.561514,0,0,5.099316,0,17.004246,0,0,11.090937,14.319801,14.417691,8.624109,0,0,0,6.637695,0,0,5.993127,0,14.861208,0,41.78397,0,0,12.238509,0,0,0,0,0,2.49996,0,0,0,0,0,0,0,8.601519,6.014211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05,2567.484877,2195.769363,1231.469754,1152.750381,811.939569,1010.422086,954.942552,1031.712408,720.398112,594.459615,474.048138,324.674022,407.5986726,361.993455,514.173249,384.042048,148.957707,364.533324,126.113193,189.280857,177.924111,294.52842,155.167698,17.879985,163.358832,238.216068,96.911853,96.728874,95.210073,93.612207,63.160887,31.025106,94.070031,77.632794,46.878768,0,0,3.932919,55.539774,12.127818,76.434771,30.372255,0,51.414087,0,0,20.925117,0,10.143663,1.058718,0,0,0,0,0,5.09781,0,6.88995,0,0,0,0,0,0,0,0,0,0,3.222087,0,18.459042,29.682507,0,0,0,0,0,0,13.758816,0,0,0,0,0,0,0,11.723457,0,0,0,0,0,0,0,0,0
