call_type,type,name,iso2,unlocode
DEPARTURE,Port,UST-LUGA,RU,RUULU
DEPARTURE,Port,PRIMORSK,RU,RUPRI
DEPARTURE,Port,KOZMINO,RU,RUKOZ
DEPARTURE,Port,VLADIVOSTOK,RU,RUVVO
DEPARTURE,Port,TUAPSE,RU,RUTUA
DEPARTURE,Port,VYSOTSK,RU,RUVYS
DEPARTURE,Port,TAMAN,RU,RUTAM
DEPARTURE,Port,NOVOROSSIYSK,RU,RUNVS
DEPARTURE,Port,ST PETERSBURG,RU,RULED
DEPARTURE,Port,NAKHODKA,RU,RUNJK
DEPARTURE,Port,DE-KASTRI,RU,RUDKA
DEPARTURE,Port,SLAVYANKA,RU,RUSKA
DEPARTURE,Port,ARKHANGELSK,RU,RUARH
DEPARTURE,Offshore Terminal,MYS KAMENNY,RU,NA
DEPARTURE,Offshore Terminal,YURI KORCHAGIN,RU,NA
DEPARTURE,Port,MAGADAN,RU,RUGDX
DEPARTURE,Port,PETROPAVLOVSK,RU,RUPKC
DEPARTURE,Port,MAKHACHKALA,RU,RUMCX
DEPARTURE,Port,VANINO,RU,RUVNN
DEPARTURE,Port,BALTIYSK,RU,RUBLT
DEPARTURE,Port,SVETLY,RU,RUSTY
DEPARTURE,Port,VOSTOCHNYY,RU,RUVYP
DEPARTURE,Port,ARCTIC LNG 2,RU,NA
DEPARTURE,Port,SABETTA,RU,RUSAB
DEPARTURE,Port,DUDINKA,RU,RUDUD
DEPARTURE,Port,PRIGORODNOYE,RU,RUPGN
DEPARTURE,Port,AZOV,RU,RUAZO
DEPARTURE,Port,MURMANSK,RU,RUMMK
DEPARTURE,Port,TEMRYUK,RU,RUTMR
DEPARTURE,Port,LOMONOSOV,RU,RULOM
DEPARTURE,Port,KAVKAZ,RU,RUKZP
DEPARTURE,Port,YEYSK,RU,RUYEY
DEPARTURE,Port,TAGANROG,RU,RUTAG
DEPARTURE,Port,SEVERODVINSK,RU,RUSEW
DEPARTURE,Port,ROSTOV-ON-DON,RU,RUROV
DEPARTURE,Port,BRONKA,RU,RUBNK
DEPARTURE,Port,GELENDZHIK,RU,RUGDZ
DEPARTURE,Port,ASTRAKHAN,RU,RUASF
DEPARTURE,Port,BELOKAMENKA,RU,NA
DEPARTURE,Offshore Terminal,MARSHAL VASILEVSKIY,RU,NA
DEPARTURE,Port,POSYET,RU,RUPSE
DEPARTURE,Port,KANDALAKSHA,RU,RUKAN
