pointKey,operatorKey,directionKey
ITP-00452,DE-TSO-0016,exit
ITP-00525,NL-TSO-0001,exit
ITP-00525,DE-TSO-0009,entry
ITP-10010,NL-TSO-0001,exit
ITP-10012,NL-TSO-0001,exit
ITP-10012,DE-TSO-0005,entry
ITP-00025,NL-TSO-0001,exit
ITP-00071,NL-TSO-0001,exit
ITP-00103,NL-TSO-0001,exit
ITP-00151,NL-TSO-0001,exit
ITP-00169,NL-TSO-0001,exit
ITP-00259,NL-TSO-0001,exit
ITP-00305,NL-TSO-0001,exit
UGS-00001,NL-TSO-0001,exit
UGS-00265,NL-TSO-0001,exit
UGS-00266,NL-TSO-0001,exit
UGS-00267,NL-TSO-0001,exit
UGS-00268,NL-TSO-0001,exit
UGS-00269,NL-TSO-0001,exit
UGS-00270,NL-TSO-0001,exit
UGS-00271,NL-TSO-0001,exit
UGS-00395,NL-TSO-0001,exit
UGS-00396,NL-TSO-0001,exit
ITP-00211,DE-TSO-0013,entry
ITP-10012,DE-TSO-0005,entry
ITP-10010,DE-TSO-0002,entry
ITP-00188,DE-TSO-0005,entry
ITP-00066,DE-TSO-0009,entry
ITP-00454,DE-TSO-0020,entry
ITP-00491,DE-TSO-0005,entry
ITP-00297,DE-TSO-0018,entry
ITP-00006,DE-TSO-0009,exit
ITP-00056,DE-TSO-0004,exit
ITP-00056,DE-TSO-0004,entry
ITP-00308,DE-TSO-0010,exit
ITP-00539,DE-TSO-0009,exit
UGS-00273,DE-TSO-0010,exit
ITP-00168,SK-TSO-0001,exit
VTP-00043,ES-TSO-0006,entry
ITP-00540,DE-TSO-0004,exit
ITP-00026,DE-TSO-0002,entry
ITP-00083,DE-TSO-0004,exit
ITP-00047,DE-TSO-0009,exit
ITP-00555,NL-TSO-0001,entry
ITP-00555,BE-TSO-0001,exit
ITP-00544,DE-TSO-0007,entry
ITP-00544,DE-TSO-0007,exit
ITP-00294,DE-TSO-0009,exit
ITP-00258,NL-TSO-0001,exit
UGS-00274,DE-TSO-0010,entry
UGS-00266,NL-TSO-0001,entry
UGS-00265,NL-TSO-0001,entry
UGS-00395,NL-TSO-0001,entry
UGS-00396,NL-TSO-0001,entry
UGS-00268,NL-TSO-0001,entry
ITP-00139,CZ-TSO-0001,exit
ITP-00073,DE-TSO-0004,entry
ITP-00090,UK-TSO-0001,exit
ITP-00005,UK-TSO-0003,exit
ITP-00538,DE-TSO-0009,entry
ITP-00552,DE-TSO-0002,entry
ITP-00551,DE-TSO-0009,entry
ITP-00551,NL-TSO-0001,entry
ITP-00554,NL-TSO-0001,entry
ITP-00554,NL-TSO-0001,exit
ITP-00553,NL-TSO-0001,exit
ITP-00554,DE-TSO-0005,entry
ITP-00553,DE-TSO-0005,entry
ITP-00551,DE-TSO-0009,exit
ITP-00554,DE-TSO-0005,exit
ITP-00552,NL-TSO-0001,exit
ITP-00135,DK-TSO-0001,exit
ITP-00011,HR-TSO-0001,exit
ITP-00539,DE-TSO-0009,entry
ITP-00227,DE-TSO-0010,exit
ITP-00451,DE-TSO-0020,exit
ITP-00135,DK-TSO-0001,entry
ITP-00031,DE-TSO-0009,exit
ITP-10011,DK-TSO-0001,entry
ITP-00059,BG-TSO-0001,entry
ITP-00034,DE-TSO-0002,entry
ITP-00019,DE-TSO-0010,entry
ITP-00081,DE-TSO-0005,entry
ITP-00081,DE-TSO-0005,entry
ITP-00535,DE-TSO-0018,exit
ITP-00535,DE-TSO-0005,exit
ITP-00535,DE-TSO-0003,exit
