port_unlocode,move_type,ship_mmsi,ship_imo,date_utc,move_typ,terminal_id,berth_id
RUULU,DEPARTURE,249857000,9776755,2022-03-15T19:33:00Z,departure,NA,NA
RUPRI,DEPARTURE,218019000,9352315,2022-03-15T17:15:00Z,departure,NA,NA
RUKOZ,DEPARTURE,249593000,9383869,2022-03-15T08:41:00Z,departure,NA,NA
RUVVO,DEPARTURE,538008813,9282986,2022-03-15T04:59:00Z,departure,NA,NA
RUVVO,DEPARTURE,538008813,9282986,2022-03-15T04:06:00Z,departure,NA,NA
RUULU,DEPARTURE,229315000,9279719,2022-03-15T03:32:00Z,departure,NA,NA
RUTUA,DEPARTURE,636014336,9283796,2022-03-15T01:18:00Z,departure,NA,NA
RUPRI,DEPARTURE,538009821,9779953,2022-03-14T23:39:00Z,departure,NA,NA
RUULU,DEPARTURE,538005410,9706463,2022-03-14T23:22:00Z,departure,NA,NA
RUVYS,DEPARTURE,636093012,9352195,2022-03-14T23:20:00Z,departure,NA,NA
RUTAM,DEPARTURE,215910000,9448310,2022-03-14T23:19:00Z,departure,NA,NA
RUPRI,DEPARTURE,240597000,9315795,2022-03-14T20:09:00Z,departure,NA,NA
RUNVS,DEPARTURE,215515000,9843209,2022-03-14T18:45:00Z,departure,NA,NA
RUVVO,DEPARTURE,273350980,9038969,2022-03-14T13:59:00Z,departure,NA,NA
RUNVS,DEPARTURE,538007374,9804459,2022-03-14T13:53:00Z,departure,NA,NA
RUKOZ,DEPARTURE,311000695,9801524,2022-03-14T13:04:00Z,departure,NA,NA
RUULU,DEPARTURE,636020839,9792864,2022-03-14T10:28:00Z,departure,NA,NA
RUPRI,DEPARTURE,211822000,9352298,2022-03-14T09:04:00Z,departure,NA,NA
RUPRI,DEPARTURE,238020000,9796731,2022-03-14T08:17:00Z,departure,NA,NA
RUNVS,DEPARTURE,215924000,9292591,2022-03-14T04:36:00Z,departure,NA,NA
RUULU,DEPARTURE,636019152,9850692,2022-03-14T04:08:00Z,departure,NA,NA
RUNVS,DEPARTURE,636018753,9411989,2022-03-14T03:02:00Z,departure,NA,NA
RUPRI,DEPARTURE,218057000,9380477,2022-03-13T22:57:00Z,departure,NA,NA
RUKOZ,DEPARTURE,538008233,9297357,2022-03-13T20:46:00Z,departure,NA,NA
RUULU,DEPARTURE,477112400,9784611,2022-03-13T20:42:00Z,departure,NA,NA
RUNVS,DEPARTURE,229319000,9629550,2022-03-13T19:45:00Z,departure,NA,NA
RULED,DEPARTURE,538007534,9314806,2022-03-13T19:30:00Z,departure,NA,NA
RUNJK,DEPARTURE,352709000,9400837,2022-03-13T18:32:00Z,departure,NA,NA
RUNJK,DEPARTURE,371176000,9326902,2022-03-13T17:25:00Z,departure,NA,NA
RUNVS,DEPARTURE,636011641,9256066,2022-03-13T17:01:00Z,departure,NA,NA
RUULU,DEPARTURE,256332000,9325831,2022-03-13T15:44:00Z,departure,NA,NA
RUNVS,DEPARTURE,215743000,9388364,2022-03-13T13:51:00Z,departure,NA,NA
RUDKA,DEPARTURE,209225000,9301419,2022-03-13T11:36:00Z,departure,NA,NA
RUNVS,DEPARTURE,240575000,9304605,2022-03-13T05:59:00Z,departure,NA,NA
RUTAM,DEPARTURE,229039000,9529487,2022-03-13T05:49:00Z,departure,NA,NA
RUULU,DEPARTURE,538005166,9351634,2022-03-13T05:10:00Z,departure,NA,NA
