id,name,fullname,density,type,resourceType,apiGravity,sulfurContent,closestAncestorGrade,closestAncestorCommodity,closestAncestorGroup,closestAncestorFamily,energyDensity,densityUnit,expansionRatio,ancestors
1858,Mix Sweet,mixed sweet blend,835.0,grade,product,38.0,0.5,"{'id': 1858, 'fullName': 'mixed sweet blend', 'name': 'Mix Sweet', 'type': 'grade', 'resourceType': 'product'}","{'id': 1368, 'fullName': 'Crude Oil', 'name': 'Crude', 'type': 'commodity', 'resourceType': 'product'}","{'id': 1370, 'fullName': 'Crude Oil/Condensate', 'name': 'Crude/Co', 'type': 'group', 'resourceType': 'product'}","{'id': 1398, 'fullName': 'Dirty', 'name': 'Dirty', 'type': 'family', 'resourceType': 'product'}",26948.236,kg/cm,1.0,"[{'id': 1858, 'fullName': 'mixed sweet blend', 'name': 'Mix Sweet', 'type': 'grade', 'resourceType': 'product'}, {'id': 1276, 'fullName': 'Canada Crude', 'name': 'Canada Crude', 'type': 'grade', 'resourceType': 'product'}, {'id': 2913, 'fullName': 'North America', 'name': 'N. Amer', 'type': 'grade', 'resourceType': 'product'}, {'id': 1368, 'fullName': 'Crude Oil', 'name': 'Crude', 'type': 'commodity', 'resourceType': 'product'}, {'id': 1370, 'fullName': 'Crude Oil/Condensate', 'name': 'Crude/Co', 'type': 'group', 'resourceType': 'product'}, {'id': 1398, 'fullName': 'Dirty', 'name': 'Dirty', 'type': 'family', 'resourceType': 'product'}, {'id': 1746, 'fullName': 'Liquids', 'name': 'Liquids', 'type': 'family', 'resourceType': 'product'}, {'id': 2447, 'fullName': 'Commodities', 'name': 'Commodities', 'type': 'family', 'resourceType': 'product'}]"
1860,MLNG - Malaysia LNG Plant,MLNG - Malaysia LNG Plant,454.19,grade,product,,,"{'id': 1860, 'fullName': 'MLNG - Malaysia LNG Plant', 'name': 'MLNG - Malaysia LNG Plant', 'type': 'grade', 'resourceType': 'product'}","{'id': 1750, 'fullName': 'lng', 'name': 'lng', 'type': 'commodity', 'resourceType': 'product'}",,"{'id': 2447, 'fullName': 'Commodities', 'name': 'Commodities', 'type': 'family', 'resourceType': 'product'}",25099.096,kg/cm,569.15,"[{'id': 1860, 'fullName': 'MLNG - Malaysia LNG Plant', 'name': 'MLNG - Malaysia LNG Plant', 'type': 'grade', 'resourceType': 'product'}, {'id': 1750, 'fullName': 'lng', 'name': 'lng', 'type': 'commodity', 'resourceType': 'product'}, {'id': 2447, 'fullName': 'Commodities', 'name': 'Commodities', 'type': 'family', 'resourceType': 'product'}]"
1862,Molo,Molo,930.0,grade,product,21.2,1.56,"{'id': 1862, 'fullName': 'Molo', 'name': 'Molo', 'type': 'grade', 'resourceType': 'product'}","{'id': 1368, 'fullName': 'Crude Oil', 'name': 'Crude', 'type': 'commodity', 'resourceType': 'product'}","{'id': 1370, 'fullName': 'Crude Oil/Condensate', 'name': 'Crude/Co', 'type': 'group', 'resourceType': 'product'}","{'id': 1398, 'fullName': 'Dirty', 'name': 'Dirty', 'type': 'family', 'resourceType': 'product'}",26948.236,kg/cm,1.0,"[{'id': 1862, 'fullName': 'Molo', 'name': 'Molo', 'type': 'grade', 'resourceType': 'product'}, {'id': 2936, 'fullName': 'Trinidad and Tobago Crude', 'name': 'Trinidad and Tobago Crude', 'type': 'grade', 'resourceType': 'product'}, {'id': 2200, 'fullName': 'South America', 'name': 'S. Amer', 'type': 'grade', 'resourceType': 'product'}, {'id': 1368, 'fullName': 'Crude Oil', 'name': 'Crude', 'type': 'commodity', 'resourceType': 'product'}, {'id': 1370, 'fullName': 'Crude Oil/Condensate', 'name': 'Crude/Co', 'type': 'group', 'resourceType': 'product'}, {'id': 1398, 'fullName': 'Dirty', 'name': 'Dirty', 'type': 'family', 'resourceType': 'product'}, {'id': 1746, 'fullName': 'Liquids', 'name': 'Liquids', 'type': 'family', 'resourceType': 'product'}, {'id': 2447, 'fullName': 'Commodities', 'name': 'Commodities', 'type': 'family', 'resourceType': 'product'}]"
1864,Mondo,mondo,882.719,grade,product,28.8,0.44,"{'id': 1864, 'fullName': 'mondo', 'name': 'Mondo', 'type': 'grade', 'resourceType': 'product'}","{'id': 1368, 'fullName': 'Crude Oil', 'name': 'Crude', 'type': 'commodity', 'resourceType': 'product'}","{'id': 1370, 'fullName': 'Crude Oil/Condensate', 'name': 'Crude/Co', 'type': 'group', 'resourceType': 'product'}","{'id': 1398, 'fullName': 'Dirty', 'name': 'Dirty', 'type': 'family', 'resourceType': 'product'}",26948.236,kg/cm,1.0,"[{'id': 1864, 'fullName': 'mondo', 'name': 'Mondo', 'type': 'grade', 'resourceType': 'product'}, {'id': 2882, 'fullName': 'Angola Crude', 'name': 'Angola Crude', 'type': 'grade', 'resourceType': 'product'}, {'id': 2388, 'fullName': 'Western Africa', 'name': 'WAF', 'type': 'grade', 'resourceType': 'product'}, {'id': 1368, 'fullName': 'Crude Oil', 'name': 'Crude', 'type': 'commodity', 'resourceType': 'product'}, {'id': 1370, 'fullName': 'Crude Oil/Condensate', 'name': 'Crude/Co', 'type': 'group', 'resourceType': 'product'}, {'id': 1398, 'fullName': 'Dirty', 'name': 'Dirty', 'type': 'family', 'resourceType': 'product'}, {'id': 1746, 'fullName': 'Liquids', 'name': 'Liquids', 'type': 'family', 'resourceType': 'product'}, {'id': 2447, 'fullName': 'Commodities', 'name': 'Commodities', 'type': 'family', 'resourceType': 'product'}]"
1866,Aromatics,Aromatics,850.0,commodity,product,,,,"{'id': 1866, 'fullName': 'Aromatics', 'name': 'Aromatics', 'type': 'commodity', 'resourceType': 'product'}","{'id': 1312, 'fullName': 'Chemicals', 'name': 'Chemicals', 'type': 'group', 'resourceType': 'product'}","{'id': 1920, 'fullName': 'Chem/Bio', 'name': 'Chem/Bio', 'type': 'family', 'resourceType': 'product'}",26948.236,kg/cm,1.0,"[{'id': 1866, 'fullName': 'Aromatics', 'name': 'Aromatics', 'type': 'commodity', 'resourceType': 'product'}, {'id': 1312, 'fullName': 'Chemicals', 'name': 'Chemicals', 'type': 'group', 'resourceType': 'product'}, {'id': 1920, 'fullName': 'Chem/Bio', 'name': 'Chem/Bio', 'type': 'family', 'resourceType': 'product'}, {'id': 1362, 'fullName': 'CPP', 'name': 'Clean', 'type': 'family', 'resourceType': 'product'}, {'id': 1746, 'fullName': 'Liquids', 'name': 'Liquids', 'type': 'family', 'resourceType': 'product'}, {'id': 2447, 'fullName': 'Commodities', 'name': 'Commodities', 'type': 'family', 'resourceType': 'product'}]"
1868,Montara,Montara,845.786,grade,product,35.8,0.1,"{'id': 1868, 'fullName': 'Montara', 'name': 'Montara', 'type': 'grade', 'resourceType': 'product'}","{'id': 1368, 'fullName': 'Crude Oil', 'name': 'Crude', 'type': 'commodity', 'resourceType': 'product'}","{'id': 1370, 'fullName': 'Crude Oil/Condensate', 'name': 'Crude/Co', 'type': 'group', 'resourceType': 'product'}","{'id': 1398, 'fullName': 'Dirty', 'name': 'Dirty', 'type': 'family', 'resourceType': 'product'}",26948.236,kg/cm,1.0,"[{'id': 1868, 'fullName': 'Montara', 'name': 'Montara', 'type': 'grade', 'resourceType': 'product'}, {'id': 2866, 'fullName': 'Australia Crude', 'name': 'Australia Crude', 'type': 'grade', 'resourceType': 'product'}, {'id': 1126, 'fullName': 'Asia-Pacific', 'name': 'APAC', 'type': 'grade', 'resourceType': 'product'}, {'id': 1368, 'fullName': 'Crude Oil', 'name': 'Crude', 'type': 'commodity', 'resourceType': 'product'}, {'id': 1370, 'fullName': 'Crude Oil/Condensate', 'name': 'Crude/Co', 'type': 'group', 'resourceType': 'product'}, {'id': 1398, 'fullName': 'Dirty', 'name': 'Dirty', 'type': 'family', 'resourceType': 'product'}, {'id': 1746, 'fullName': 'Liquids', 'name': 'Liquids', 'type': 'family', 'resourceType': 'product'}, {'id': 2447, 'fullName': 'Commodities', 'name': 'Commodities', 'type': 'family', 'resourceType': 'product'}]"
1870,Morichal,morichal,959.0,grade,product,16.0,2.78,"{'id': 1870, 'fullName': 'morichal', 'name': 'Morichal', 'type': 'grade', 'resourceType': 'product'}","{'id': 1368, 'fullName': 'Crude Oil', 'name': 'Crude', 'type': 'commodity', 'resourceType': 'product'}","{'id': 1370, 'fullName': 'Crude Oil/Condensate', 'name': 'Crude/Co', 'type': 'group', 'resourceType': 'product'}","{'id': 1398, 'fullName': 'Dirty', 'name': 'Dirty', 'type': 'family', 'resourceType': 'product'}",26948.236,kg/cm,1.0,"[{'id': 1870, 'fullName': 'morichal', 'name': 'Morichal', 'type': 'grade', 'resourceType': 'product'}, {'id': 2750, 'fullName': 'Venezuela Crude', 'name': 'Venezuela Crude', 'type': 'grade', 'resourceType': 'product'}, {'id': 2200, 'fullName': 'South America', 'name': 'S. Amer', 'type': 'grade', 'resourceType': 'product'}, {'id': 1368, 'fullName': 'Crude Oil', 'name': 'Crude', 'type': 'commodity', 'resourceType': 'product'}, {'id': 1370, 'fullName': 'Crude Oil/Condensate', 'name': 'Crude/Co', 'type': 'group', 'resourceType': 'product'}, {'id': 1398, 'fullName': 'Dirty', 'name': 'Dirty', 'type': 'family', 'resourceType': 'product'}, {'id': 1746, 'fullName': 'Liquids', 'name': 'Liquids', 'type': 'family', 'resourceType': 'product'}, {'id': 2447, 'fullName': 'Commodities', 'name': 'Commodities', 'type': 'family', 'resourceType': 'product'}]"
1872,MTBE,MTBE,740.0,grade,product,,,"{'id': 1872, 'fullName': 'MTBE', 'name': 'MTBE', 'type': 'grade', 'resourceType': 'product'}","{'id': 1226, 'fullName': 'Blending Components', 'name': 'Blending Comps', 'type': 'commodity', 'resourceType': 'product'}","{'id': 1228, 'fullName': 'Blendings', 'name': 'Blendings', 'type': 'group', 'resourceType': 'product'}","{'id': 1730, 'fullName': 'Light Ends', 'name': 'Light Ends', 'type': 'family', 'resourceType': 'product'}",26948.236,kg/cm,1.0,"[{'id': 1872, 'fullName': 'MTBE', 'name': 'MTBE', 'type': 'grade', 'resourceType': 'product'}, {'id': 1976, 'fullName': 'Oxygenates', 'name': 'Oxygenates', 'type': 'grade', 'resourceType': 'product'}, {'id': 1226, 'fullName': 'Blending Components', 'name': 'Blending Comps', 'type': 'commodity', 'resourceType': 'product'}, {'id': 1228, 'fullName': 'Blendings', 'name': 'Blendings', 'type': 'group', 'resourceType': 'product'}, {'id': 1730, 'fullName': 'Light Ends', 'name': 'Light Ends', 'type': 'family', 'resourceType': 'product'}, {'id': 1328, 'fullName': 'Clean petroleum products', 'name': 'Clean Products', 'type': 'family', 'resourceType': 'product'}, {'id': 1362, 'fullName': 'CPP', 'name': 'Clean', 'type': 'family', 'resourceType': 'product'}, {'id': 1746, 'fullName': 'Liquids', 'name': 'Liquids', 'type': 'family', 'resourceType': 'product'}, {'id': 2447, 'fullName': 'Commodities', 'name': 'Commodities', 'type': 'family', 'resourceType': 'product'}]"
1874,mubarek sharjah,mubarek sharjah,840.0,grade,product,37.0,0.6,"{'id': 1874, 'fullName': 'mubarek sharjah', 'name': 'mubarek sharjah', 'type': 'grade', 'resourceType': 'product'}","{'id': 1368, 'fullName': 'Crude Oil', 'name': 'Crude', 'type': 'commodity', 'resourceType': 'product'}","{'id': 1370, 'fullName': 'Crude Oil/Condensate', 'name': 'Crude/Co', 'type': 'group', 'resourceType': 'product'}","{'id': 1398, 'fullName': 'Dirty', 'name': 'Dirty', 'type': 'family', 'resourceType': 'product'}",26948.236,kg/cm,1.0,"[{'id': 1874, 'fullName': 'mubarek sharjah', 'name': 'mubarek sharjah', 'type': 'grade', 'resourceType': 'product'}, {'id': 2879, 'fullName': 'UAE Crude', 'name': 'UAE Crude', 'type': 'grade', 'resourceType': 'product'}, {'id': 1848, 'fullName': 'Middle East', 'name': 'ME', 'type': 'grade', 'resourceType': 'product'}, {'id': 1368, 'fullName': 'Crude Oil', 'name': 'Crude', 'type': 'commodity', 'resourceType': 'product'}, {'id': 1370, 'fullName': 'Crude Oil/Condensate', 'name': 'Crude/Co', 'type': 'group', 'resourceType': 'product'}, {'id': 1398, 'fullName': 'Dirty', 'name': 'Dirty', 'type': 'family', 'resourceType': 'product'}, {'id': 1746, 'fullName': 'Liquids', 'name': 'Liquids', 'type': 'family', 'resourceType': 'product'}, {'id': 2447, 'fullName': 'Commodities', 'name': 'Commodities', 'type': 'family', 'resourceType': 'product'}]"
1876,Mubarraz,Mubarraz,834.0,grade,product,38.1,0.9,"{'id': 1876, 'fullName': 'Mubarraz', 'name': 'Mubarraz', 'type': 'grade', 'resourceType': 'product'}","{'id': 1368, 'fullName': 'Crude Oil', 'name': 'Crude', 'type': 'commodity', 'resourceType': 'product'}","{'id': 1370, 'fullName': 'Crude Oil/Condensate', 'name': 'Crude/Co', 'type': 'group', 'resourceType': 'product'}","{'id': 1398, 'fullName': 'Dirty', 'name': 'Dirty', 'type': 'family', 'resourceType': 'product'}",26948.236,kg/cm,1.0,"[{'id': 1876, 'fullName': 'Mubarraz', 'name': 'Mubarraz', 'type': 'grade', 'resourceType': 'product'}, {'id': 2879, 'fullName': 'UAE Crude', 'name': 'UAE Crude', 'type': 'grade', 'resourceType': 'product'}, {'id': 1848, 'fullName': 'Middle East', 'name': 'ME', 'type': 'grade', 'resourceType': 'product'}, {'id': 1368, 'fullName': 'Crude Oil', 'name': 'Crude', 'type': 'commodity', 'resourceType': 'product'}, {'id': 1370, 'fullName': 'Crude Oil/Condensate', 'name': 'Crude/Co', 'type': 'group', 'resourceType': 'product'}, {'id': 1398, 'fullName': 'Dirty', 'name': 'Dirty', 'type': 'family', 'resourceType': 'product'}, {'id': 1746, 'fullName': 'Liquids', 'name': 'Liquids', 'type': 'family', 'resourceType': 'product'}, {'id': 2447, 'fullName': 'Commodities', 'name': 'Commodities', 'type': 'family', 'resourceType': 'product'}]"
