"Vessel Name","Port Call Type","Port Type","Port At Call","Port At Call Country","Port At Call Unlocode",Ata/atd,"Time At Port","Destination Port","Destination Port Country","Destination Port Unlocode","Voyage Origin Port","Origin Port Country","Origin Port Unlocode","Voyage Time Underway","Voyage Distance Travelled","Last Call","Leg Time Underway","Leg Distance Travelled","Load Condition","In Transit Port Calls","Last Call Atd",Mmsi,Imo,Draught,"Last Call Draught","Port Operation","Voyage Speed Average","Voyage Speed Max","Voyage Idle Time","Voyage Origin Port Atd","Voyage Origin Port Draught","Vessel Type - Generic","Vessel Type - Detailed","Commercial Market","Commercial Size Class",Manager,"Manager Email","Manager City","Manager Country",Owner,"Owner Email","Owner City","Owner Country","Financial Owner","Financial Owner Email","Financial Owner City","Financial Owner Country","Technical Manager","Technical Manager Email","Technical Manager City","Technical Manager Country",Insurer,"Insurer Email","Insurer City","Insurer Country",Builder,"Builder Email","Builder City","Builder Country","Class Society","Class Society Email","Class Society City","Class Society Country","Engine Builder","Engine Builder Email","Engine Builder City","Engine Builder Country","Capacity - Dwt","Capacity - Teu","Capacity - Liquid Gas","My Fleets"
"BALT FLOT 12",DEPARTURE,Port,TEMRYUK,RU,RUTMR,"2021-12-14 22:10:00","5d 14h 12m","TEMRYUK ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,273380460,9804241,4.2,,LOAD,,,,,,Tanker,"Oil Products Tanker","WET BULK",HANDYSIZE,"BF TANKER LLC",info@bftanker.com,,RUSSIA,"STATE TRANSPORT LEASING COMPANY PJSC",,,RUSSIA,,,,,,,,,"STANDARD P & I CLUB",,LONDON,U.K.,,,,,"RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,,,,,7013,,,-
CLIMENE,DEPARTURE,Port,YEYSK,RU,RUYEY,"2021-12-14 21:13:00","19h 53m","KAVKAZ ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,273314050,9376593,3.8,,LOAD,,,,,,Tanker,"Oil Products Tanker","WET BULK",HANDYSIZE,"PIETRO BARBARO GROUP",,,ITALY,"PIETRO BARBARO GROUP",,,ITALY,,,,,,,,,"UK P & I CLUB",,LONDON,U.K.,"KRASNOYE SORMOVO SHIPYARD",krsormovo@mnpglobal.com,"NIZHNIY NOVGOROD",RUSSIA,"RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"MAN DIESEL  TURBO",,,GERMANY,5600,,,-
"METIN KA",DEPARTURE,Port,TUAPSE,RU,RUTUA,"2021-12-14 21:04:00","1d 1h 7m","SAMSUN ANCH",TR,,,,,-,,,-,,"Partially Laden","Not in Transit",,271001000,9445382,5.7,,LOAD,,,,,,Tanker,"Oil/Chemical Tanker","WET BULK",HANDYSIZE,"TRANS KA TANKER MANAGEMENT CO",,,TURKEY,"TRANS KA TANKER MANAGEMENT CO",,,TURKEY,,,,,,,,,"STANDARD P & I CLUB",,LONDON,U.K.,"SAHIN CELIK SHIPYARD",info@sahincelik.com.tr,ISTANBUL,TURKEY,"BUREAU VERITAS",veristarinfo@bureauveritas.com,PARIS,FRANCE,"CATERPILLAR MAK",,KIEL,GERMANY,6308,,,-
"HAFNIA ADAMELLO",DEPARTURE,Port,TUAPSE,RU,RUTUA,"2021-12-14 19:43:00","2d 7h ",CARTAGENA,ES,ESCAR,,,,-,,,-,,"Partially Laden","Not in Transit",,565975000,9263203,10.1,,LOAD,,,,,,Tanker,"Oil/Chemical Tanker","WET BULK",HANDYMAX/MR,"HAFNIA HANDY POOL",,,DENMARK,"HAFNIA TANKERS MEMBER OF BW GROUP",,,DENMARK,,,,,"DONNELLY TANKER MANAGEMENT LTD",technical@donnellytanker.com.cy,,CYPRUS,"ASSURANCEFORENINGEN SKULD NORWAY",osl@skuld.com,OSLO,NORWAY,"SAIKI HEAVY INDUSTRIES",,SAIKI,JAPAN,"AMERICAN BUREAU OF SHIPPING",abs-worldhq@eagle.org,"HOUSTON TX",U.S.A.,"AKASAKA DIESELS",,TOKYO,JAPAN,40002,,,-
"SW MONACO I",DEPARTURE,Port,TAMAN,RU,RUTAM,"2021-12-14 18:48:00","1d 14h 10m","TAMAN ANCH",RU,,,,,-,,,-,,"Partially Laden","Not in Transit",,374124000,9260275,7.8,,LOAD,,,,,,Tanker,"Oil/Chemical Tanker","WET BULK",HANDYSIZE,"HANDYTANKERS KS",cph.ops@handytankers.com,,DENMARK,"SEA WORLD MANAGEMENT SAM",,,MONACO,,,,,"SEA WORLD MANAGEMENT SAM",,,MONACO,"STANDARD P & I CLUB",,LONDON,U.K.,"HYUNDAI MIPO DOCKYARD",sales@hmd.co.kr,ULSAN,"SOUTH KOREA","REGISTRO ITALIANO NAVALE",info@rina.org,GENOVA,ITALY,,,,,35110,,,-
"HOPE A",DEPARTURE,Port,TAMAN,RU,RUTAM,"2021-12-14 17:44:00","1d 10h 52m",SINES,PT,PTSIE,,,,-,,,-,,Laden,"Not in Transit",,215705000,9282821,10.5,,LOAD,,,,,,Tanker,"Oil/Chemical Tanker","WET BULK",HANDYMAX/MR,"OIL REFINERIES LTD",,,ISRAEL,"ANCORA INVESTMENT TRUST INC",ancora@ancora.gr,,GREECE,,,,,"ANCORA INVESTMENT TRUST INC",ancora@ancora.gr,,GREECE,"ASSURANCEFORENINGEN GARD NORWAY",companymail@gard.no,ARENDAL,NORWAY,"SHINASB YARD",sas@isis.co.kr,TONGYOUNG,"SOUTH KOREA","AMERICAN BUREAU OF SHIPPING",abs-worldhq@eagle.org,"HOUSTON TX",U.S.A.,"HSD ENGINE",service.engine@hsdengine.com,,"SOUTH KOREA",40095,,,-
GLIFA,DEPARTURE,Port,KOZMINO,RU,RUKOZ,"2021-12-14 16:40:00","1d 2h 27m",QINGDAO,CN,CNQDG,,,,-,,,-,,Laden,"Not in Transit",,538008675,9299599,14.9,,LOAD,,,,,,Tanker,"Crude Oil Tanker","WET BULK",AFRAMAX/LR2,"UNION MARITIME LTD",,,U.K.,"UML GLIFA LIMITED",,LONDON,U.K.,,,,,"VIRONO SHIPPING SA",,,GREECE,"ASSURANCEFORENINGEN GARD NORWAY",companymail@gard.no,ARENDAL,NORWAY,"HUDONG ZHONGHUA SHIPBUILDING GROUP",bmd@hz-shipgroup.com,SHANGHAI,CHINA,"AMERICAN BUREAU OF SHIPPING",abs-worldhq@eagle.org,"HOUSTON TX",U.S.A.,"HUDONG HEAVY MACHINERY",web@ahhudong.com,ANHUI,CHINA,109229,,,-
"LADY SEVDA",DEPARTURE,Port,AZOV,RU,RUAZO,"2021-12-14 15:30:00","2d 35m","KAVKAZ ANCH",RU,,,,,-,,,-,,"Partially Laden","Not in Transit",,273342180,9683738,3.6,,LOAD,,,,,,Tanker,"Oil Products Tanker","WET BULK",HANDYSIZE,"ALFALEASING LLC",,,RUSSIA,"ALFALEASING LLC",,,RUSSIA,,,,,,,,,"STANDARD P & I CLUB",,LONDON,U.K.,"KRASNOYE SORMOVO SHIPYARD",krsormovo@mnpglobal.com,"NIZHNIY NOVGOROD",RUSSIA,"RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,,,,,7003,,,-
"VALENTIN GRUZDEV",DEPARTURE,Port,ROSTOV-ON-DON,RU,RUROV,"2021-12-14 15:22:00","16h 47m","KAVKAZ SOUTH ANCH",RU,,,,,-,,,-,,"Partially Laden","Not in Transit",,273331580,9683714,3.2,,NONE,,,,,,Tanker,"Oil Products Tanker","WET BULK",HANDYSIZE,"MOSCOW RIVER SHIPPING CO",reception@mosrp.ru,,RUSSIA,"GAZTECH LEASING",,,RUSSIA,,,,,,,,,,,,,"KRASNOYE SORMOVO SHIPYARD",krsormovo@mnpglobal.com,"NIZHNIY NOVGOROD",RUSSIA,"RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,,,,,7010,,,-
"AGIOS NIKOLAOS IV",DEPARTURE,Port,NOVOROSSIYSK,RU,RUNVS,"2021-12-14 13:43:00","1d 12h 26m","DARDANELES WAIT AREA",TR,,,,,-,,,-,,Laden,"Not in Transit",,248480000,9464364,10.3,,LOAD,,,,,,Tanker,"Oil/Chemical Tanker","WET BULK",HANDYSIZE,"EASTERN MEDITERRANEAN MARITIME LTD",email@eastmed.gr,,GREECE,"EASTERN MEDITERRANEAN MARITIME LTD",email@eastmed.gr,,GREECE,,,,,"EASTERN MEDITERRANEAN MARITIME LTD",email@eastmed.gr,,GREECE,"STANDARD P & I CLUB",,LONDON,U.K.,"HYUNDAI MIPO DOCKYARD",sales@hmd.co.kr,ULSAN,"SOUTH KOREA","DET NORSKE VERITAS GERMANISCHER LLOYD",iacs@dnvgl.com,OSLO,NORWAY,HYUNDAI,,,"SOUTH KOREA",37557,,,-
