"Vessel Name","Port Call Type","Port Type","Port At Call","Port At Call Country","Port At Call Unlocode",Ata/atd,"Time At Port","Destination Port","Destination Port Country","Destination Port Unlocode","Voyage Origin Port","Origin Port Country","Origin Port Unlocode","Voyage Time Underway","Voyage Distance Travelled","Last Call","Leg Time Underway","Leg Distance Travelled","Load Condition","In Transit Port Calls","Last Call Atd",Mmsi,Imo,Draught,"Last Call Draught","Port Operation","Voyage Speed Average","Voyage Speed Max","Voyage Idle Time","Voyage Origin Port Atd","Voyage Origin Port Draught","Vessel Type - Generic","Vessel Type - Detailed","Commercial Market","Commercial Size Class",Manager,"Manager Email","Manager City","Manager Country",Owner,"Owner Email","Owner City","Owner Country","Financial Owner","Financial Owner Email","Financial Owner City","Financial Owner Country","Technical Manager","Technical Manager Email","Technical Manager City","Technical Manager Country",Insurer,"Insurer Email","Insurer City","Insurer Country",Builder,"Builder Email","Builder City","Builder Country","Class Society","Class Society Email","Class Society City","Class Society Country","Engine Builder","Engine Builder Email","Engine Builder City","Engine Builder Country","Capacity - Dwt","Capacity - Teu","Capacity - Liquid Gas","My Fleets"
"DYNAMIC M",DEPARTURE,Port,NOVOROSSIYSK,RU,RUNVS,"2022-03-15 21:59:00","2d 10h 44m","NOVOROSSIYSK ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,312119000,9114610,9.8,,LOAD,,,,,,Cargo,"Bulk Carrier","DRY BULK",HANDYSIZE,"MERRY ENTERPRISES DENIZCILIK SANAYI VE TICARE",,,TURKEY,"MERRY ENTERPRISES DENIZCILIK SANAYI VE TICARE",,,TURKEY,,,,,"MERRY ENTERPRISES DENIZCILIK SANAYI VE TICARE",,,TURKEY,"THE SWEDISH CLUB",swedish.club@swedishclub.com,GOTHENBURG,SWEDEN,"NAIKAI SHIPBUILDING SETODA FACTORY",naikaise@ommki.mki.hitachizosen.co.jp,ONOMICHI,JAPAN,"NIPPON KAIJI KYOKAI",svd@classnk.or.jp,TOKYO,JAPAN,HITACHI,,,JAPAN,28760,,,-
"NEW SIHAM",DEPARTURE,Port,NOVOROSSIYSK,RU,RUNVS,"2022-03-15 20:32:00","1d 4h 59m","NOVOROSSIYSK ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,518100278,9197882,9.8,,LOAD,,,,,,Cargo,"Bulk Carrier","DRY BULK",HANDYSIZE,"TOLUNAY SHIP MANAGEMENT",,,TURKEY,"TOLUNAY SHIP MANAGEMENT",,,TURKEY,,,,,,,,,"UK P & I CLUB",,LONDON,U.K.,"HYUNDAI MIPO DOCKYARD",sales@hmd.co.kr,ULSAN,"SOUTH KOREA","NIPPON KAIJI KYOKAI",svd@classnk.or.jp,TOKYO,JAPAN,"HYUNDAI HEAVY INDUSTRIES CO LTD",choyc@hhi.co.kr,ULSAN,"SOUTH KOREA",31025,,,-
"DL ADONIS",DEPARTURE,Port,VANINO,RU,RUVNN,"2022-03-15 18:39:00","10h 10m",,,,,,,-,,,-,,Laden,"Not in Transit",,441686000,9553206,14.4,,NONE,,,,,,Cargo,"Bulk Carrier","DRY BULK",PANAMAX,"DAELIM INDUSTRIAL CO",,,"SOUTH KOREA","DAELIM CORP",,,"SOUTH KOREA",,,,,,,,,"ASSURANCEFORENINGEN GARD NORWAY",companymail@gard.no,ARENDAL,NORWAY,"COSCO SHIPPING HEAVY INDUSTRY DALIAN",,DALIAN,CHINA,"KOREAN REGISTER OF SHIPPING",krbell@krs.co.kr,BUSAN,"SOUTH KOREA",KAWASAKI,,,JAPAN,79329,,,-
"MAHA ROOS",DEPARTURE,Port,NOVOROSSIYSK,RU,RUNVS,"2022-03-15 15:22:00","2d 7h 6m","NOVOROSSIYSK ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,419000124,9231004,13.0,,LOAD,,,,,,Cargo,"Bulk Carrier","DRY BULK",PANAMAX,"FIVE STARS SHIPPING CO PVT LTD",contact@fivestarship.com,,INDIA,"BG SHIRKE CONSTRUCTION TECH",,MUMBAI,INDIA,,,,,"FIVE STARS SHIPPING CO PVT LTD",contact@fivestarship.com,,INDIA,"BRITANNIA STEAMSHIP INSURANCE ASSOCIATION LD",info@britanniapandi.com,LONDON,U.K.,"SANOYAS MIZUSHIMA WORKS & SHIPYARD",,KURASHIKI,JAPAN,"INDIAN REGISTER OF SHIPPING",ho@irclass.org,MUMBAI,INDIA,"DIESEL UNITED",,TOKYO,JAPAN,75592,,,-
"SEA SAPPHIRE",DEPARTURE,Port,VOSTOCHNYY,RU,RUVYP,"2022-03-15 15:13:00","23h 11m",POHANG,KR,KRKPO,,,,-,,,-,,Laden,"Not in Transit",,351250000,9557226,10.2,,LOAD,,,,,,Cargo,"Bulk Carrier","DRY BULK",HANDYSIZE,"HANARO SHIPPING CO LTD ",,,"SOUTH KOREA","HANARO SHIPPING CO LTD ",,,"SOUTH KOREA",,,,,"HANARO SHIPPING CO LTD ",,,"SOUTH KOREA","STEAMSHIP MUTUAL P & I",duty.team@simsl.com,HAMILTON,BERMUDA,"ZHEJIANG HONGXIN SHIPBUILDING",,"TAIZHOU ZHEJIANG",CHINA,"KOREAN REGISTER OF SHIPPING",krbell@krs.co.kr,BUSAN,"SOUTH KOREA","STX HEAVY INDUSTRIES",,CHANGWON,"SOUTH KOREA",32550,,,-
"QING FENG LING",DEPARTURE,Port,SVETLY,RU,RUSTY,"2022-03-15 12:35:00","5d 21h 54m",GOTEBORG,SE,SEGOT,,,,-,,,-,,Laden,"Not in Transit",,414718000,9663702,9.5,,LOAD,,,,,,Cargo,"Bulk Carrier","DRY BULK",HANDYSIZE,"COSCO SHIPPING BULK CO LTD",,,CHINA,"COSCO SHIPPING BULK CO LTD",,,CHINA,,,,,"COSCO BULK CARRIER CO LTD COSCO BULK",,,CHINA,"ASSURANCEFORENINGEN SKULD NORWAY",osl@skuld.com,OSLO,NORWAY,"SHANHAIGUAN SHIPBUILDING INDUSTRY",info@shgsic.com,QINHUANGDAO,CHINA,"CHINA CLASSIFICATION SOCIETY",ccs@ccs.org.cn,BEIJING,CHINA,"YICHANG MARINE DIESEL",,,CHINA,34473,,,-
ZEUS,DEPARTURE,Port,UST-LUGA,RU,RUULU,"2022-03-15 11:55:00","2d 15h 58m",SKAGEN,DK,DKSKA,,,,-,,,-,,Laden,"Not in Transit",,636017523,9426049,14.4,,LOAD,,,,,,Cargo,"Bulk Carrier","DRY BULK","POST PANAMAX","LASKARIDIS SHIPPING CO LTD",,,GREECE,"LASKARIDIS SHIPPING CO LTD",,,GREECE,,,,,"LASKARIDIS SHIPPING CO LTD",,,GREECE,"NORTH OF ENGLAND P & I ASSOCIATION",,"NEWCASTLE UPON TYNE",U.K.,"JIANGSU NEW YANGZIJIANG SHIPBUILDING",newyzshipping@126.com,JINGJIANG,CHINA,"CHINA CLASSIFICATION SOCIETY",ccs@ccs.org.cn,BEIJING,CHINA,"DOOSAN ENGINE",,SEOUL,"SOUTH KOREA",93200,,,-
"J HARMONY",DEPARTURE,Port,POSYET,RU,RUPSE,"2022-03-15 11:20:00","1d 20h 6m",CHIBA,JP,JPCHB,,,,-,,,-,,Laden,"Not in Transit",,477264800,9515553,8.9,,LOAD,,,,,,Cargo,"Bulk Carrier","DRY BULK",HANDYSIZE,"IMABARI SENPAKU CO LTD",marine@imabarisenpaku.co.jp,,JAPAN,"IMABARI SENPAKU CO LTD",marine@imabarisenpaku.co.jp,,JAPAN,,,,,,,,,"JAPAN SHIP OWNERS P & I ASSOCIATION",,TOKYO,JAPAN,"IMABARI SHIPBUILDING",info@imazo.com,IMABARI,JAPAN,"NIPPON KAIJI KYOKAI",svd@classnk.or.jp,TOKYO,JAPAN,MAKITA,,AICHI,JAPAN,28398,,,-
"DL ADONIS",DEPARTURE,Port,VANINO,RU,RUVNN,"2022-03-15 07:59:00","1d 2h 37m",VANINO,RU,RUVNN,,,,-,,,-,,Laden,"Not in Transit",,441686000,9553206,14.4,,LOAD,,,,,,Cargo,"Bulk Carrier","DRY BULK",PANAMAX,"DAELIM INDUSTRIAL CO",,,"SOUTH KOREA","DAELIM CORP",,,"SOUTH KOREA",,,,,,,,,"ASSURANCEFORENINGEN GARD NORWAY",companymail@gard.no,ARENDAL,NORWAY,"COSCO SHIPPING HEAVY INDUSTRY DALIAN",,DALIAN,CHINA,"KOREAN REGISTER OF SHIPPING",krbell@krs.co.kr,BUSAN,"SOUTH KOREA",KAWASAKI,,,JAPAN,79329,,,-
"FORMOSABULK CLEMENT",DEPARTURE,Port,VOSTOCHNYY,RU,RUVYP,"2022-03-15 07:37:00","14d 12h 13m",MAILIAO,TW,TWMLI,,,,-,,,-,,Laden,"Not in Transit",,636012294,9222742,15.5,,LOAD,,,,,,Cargo,"Bulk Carrier","DRY BULK",CAPESIZE,"FORMOSA PLASTICS MARINE CORP",chmfpmc@fpg.com.tw,,TAIWAN,"FORMOSA PLASTICS MARINE CORP",chmfpmc@fpg.com.tw,,TAIWAN,,,,,"FORMOSA PLASTICS MARINE CORP",chmfpmc@fpg.com.tw,,TAIWAN,"BRITANNIA STEAMSHIP INSURANCE ASSOCIATION LD",info@britanniapandi.com,LONDON,U.K.,"JMU KURE SHIPYARD",,KURE,JAPAN,"BUREAU VERITAS",veristarinfo@bureauveritas.com,PARIS,FRANCE,"DIESEL UNITED",,TOKYO,JAPAN,170085,,,-
