port_unlocode,move_type,ship_mmsi,ship_imo,date_utc,load_status,port_operation,draught,terminal_id,berth_id
RUULU,departure,249857000,9776755,2022-03-15T19:33:00Z,fully_laden,load,14.6,NA,NA
RUPRI,departure,218019000,9352315,2022-03-15T17:15:00Z,fully_laden,load,11.1,NA,NA
RUKOZ,departure,249593000,9383869,2022-03-15T08:41:00Z,fully_laden,load,14.8,NA,NA
RUVVO,departure,538008813,9282986,2022-03-15T04:59:00Z,partially_laden,none,9.4,NA,NA
RUVVO,departure,538008813,9282986,2022-03-15T04:06:00Z,partially_laden,load,9.1,NA,NA
RUULU,departure,229315000,9279719,2022-03-15T03:32:00Z,fully_laden,load,10.8,NA,NA
RUTUA,departure,636014336,9283796,2022-03-15T01:18:00Z,fully_laden,load,10.3,NA,NA
RUPRI,departure,538009821,9779953,2022-03-14T23:39:00Z,fully_laden,load,14.4,NA,NA
RUULU,departure,538005410,9706463,2022-03-14T23:22:00Z,fully_laden,load,11.3,NA,NA
RUVYS,departure,636093012,9352195,2022-03-14T23:20:00Z,fully_laden,load,10.4,NA,NA
RUTAM,departure,215910000,9448310,2022-03-14T23:19:00Z,fully_laden,load,10.3,NA,NA
RUPRI,departure,240597000,9315795,2022-03-14T20:09:00Z,fully_laden,load,10.9,NA,NA
RUNVS,departure,215515000,9843209,2022-03-14T18:45:00Z,fully_laden,load,13.8,NA,NA
RUVVO,departure,273350980,9038969,2022-03-14T13:59:00Z,partially_laden,load,6.6,NA,NA
RUNVS,departure,538007374,9804459,2022-03-14T13:53:00Z,fully_laden,load,16,NA,NA
RUKOZ,departure,311000695,9801524,2022-03-14T13:04:00Z,fully_laden,load,13.7,NA,NA
RUULU,departure,636020839,9792864,2022-03-14T10:28:00Z,fully_laden,load,14.5,NA,NA
RUPRI,departure,211822000,9352298,2022-03-14T09:04:00Z,fully_laden,load,10.9,NA,NA
RUPRI,departure,238020000,9796731,2022-03-14T08:17:00Z,fully_laden,load,14.2,NA,NA
RUNVS,departure,215924000,9292591,2022-03-14T04:36:00Z,fully_laden,load,9.4,NA,NA
RUULU,departure,636019152,9850692,2022-03-14T04:08:00Z,fully_laden,load,14.3,NA,NA
RUNVS,departure,636018753,9411989,2022-03-14T03:02:00Z,fully_laden,load,11,NA,NA
RUPRI,departure,218057000,9380477,2022-03-13T22:57:00Z,fully_laden,load,10,NA,NA
RUKOZ,departure,538008233,9297357,2022-03-13T20:46:00Z,fully_laden,none,14,NA,NA
RUULU,departure,477112400,9784611,2022-03-13T20:42:00Z,fully_laden,load,14.3,NA,NA
RUNVS,departure,229319000,9629550,2022-03-13T19:45:00Z,fully_laden,load,12.7,NA,NA
RULED,departure,538007534,9314806,2022-03-13T19:30:00Z,fully_laden,load,10.9,NA,NA
RUNJK,departure,352709000,9400837,2022-03-13T18:32:00Z,fully_laden,load,12.2,NA,NA
RUNJK,departure,371176000,9326902,2022-03-13T17:25:00Z,partially_laden,load,9.1,NA,NA
RUNVS,departure,636011641,9256066,2022-03-13T17:01:00Z,fully_laden,load,11.7,NA,NA
RUULU,departure,256332000,9325831,2022-03-13T15:44:00Z,fully_laden,load,11.2,NA,NA
RUNVS,departure,215743000,9388364,2022-03-13T13:51:00Z,fully_laden,load,13.2,NA,NA
RUDKA,departure,209225000,9301419,2022-03-13T11:36:00Z,fully_laden,load,14.3,NA,NA
RUNVS,departure,240575000,9304605,2022-03-13T05:59:00Z,fully_laden,load,15.1,NA,NA
